farmhouse chic
main dining
own homemade
olive oil
olive oil
whole day
basalmic vinegar
olive oil
little place
wonderful experience
free appetizer
delectable smokiness
creamy soup
intense flavour
thick cut
top sirloin
lemon mayo
striped bass
sweet onion
whole plate
first choice
maple panna
candied bacon
great crunch
dessert choice
pistachio tart
crÌ¬me anglaise
generous amount
delicious meal
great experience
happy crowd
contemporary decor
good variety
soft shell
green chutney
lemon caper
falling-off-the-bone goodness
great evening
good restaurant
financial center
different part
dark setting
large restaurant
small space
good portion
bright spot
romantic dinner
