attribute,label
the chipotle sauce,f
the chicken pot pie,f
the snickers pancake,f
all the way,o
a buffet,f
food portions,f
a huge fan,d
go,o
atmosphere,d
the second floor,d
let 's,o
a sunday morning,o
bacon waffles,f
waitress,s
vacation,o
the burgers,f
the name,o
wait time,s
all the reviews,o
our way,o
amazing !!,o
multiple times,o
`` the wait,s
a long,o
a piece,o
the bottom,o
the servers,s
a friday morning,o
the place to go,o
the serving sizes,f
places,o
seating,d
`` came,o
chunks,f
this world,o
our room,o
the long wait,s
plate,d
the tractor combo,f
chipotle sauce,f
sauce,f
the large portions,f
delicious food,f
the money,o
the meatloaf hash,f
holy,o
my son,o
the san diego location,o
2 hours,s
special,o
denny 's,o
a dent,o
walking,o
tv,d
best,o
our meal,f
the lines,s
my next trip,o
location,o
waiter,s
the syrup,f
their fried chicken,f
a great price,o
maple syrup,f
11am,o
choice,o
adam richman,o
a big deal,f
four,o
the sauce,f
the linq '',o
a great meal,f
super,o
three people,o
a plus,o
11:30 AM,o
casino,o
one dish,f
a day,o
the pork tenderloin,f
2-3 people,o
the sage chicken benedict,f
no line,o
the entrance,d
two times,o
comfort food,f
the flapjack,o
servings,f
the strip '',o
the fries,f
the escalators,o
3 stars,o
a great breakfast,f
the reason,o
the tractor driver combo,o
a bloody mary,f
the ip,o
fun,o
a weekend,o
my friends and i,o
everyone 's,o
a trip,o
a picture,d
most people,o
hash house a go go '',o
2 eggs,f
the skin,o
my expectations,o
my group,o
my order,s
a recommendation,o
the salmon,f
three,o
scrambled eggs,f
tip,o
andy 's sage fried chicken,f
the hubby,o
downstairs,d
huge !!!,o
sooo,o
a show,s
a few times,o
toast,f
avocado '',f
the imperial,d
the flavors,f
the chicken and waffle,f
`` there,o
hash house a go,o
beef,s
well,o
table 17,o
the service,s
the food,f
the menu,s
us,o
this place,o
food,f
dinner,f
service,s
a little,o
brunch,f
the restaurant,o
everything,o
a bit,o
top,o
our server,s
the side,o
one,o
wine,f
the servers,s
the steak,f
dessert,f
my main,o
my friend,o
the decor,d
leslieville,o
something,o
the place,o
the polenta,f
polenta,f
reservations,f
the bar,d
risotto,f
toronto,o
my date,o
the hot balls,f
the chef,o
the night,o
short ribs,f
the end,o
two,o
the scallops,f
bread,f
a plate,d
great food,f
the dish,f
the server,s
lamb,f
